iter	Passed	Remaining
0	148	147960
1	149	74798
2	153	50877
3	155	38643
4	157	31273
5	158	26294
6	160	22709
7	161	20011
8	163	17957
9	164	16301
10	166	14934
11	167	13781
12	168	12809
13	170	12010
14	171	11289
15	173	10653
16	174	10089
17	175	9600
18	177	9176
19	179	8811
20	182	8502
21	183	8177
22	185	7879
23	186	7604
24	188	7352
25	190	7120
26	191	6913
27	193	6718
28	195	6533
29	196	6355
30	197	6188
31	199	6038
32	201	5894
33	202	5762
34	204	5632
35	205	5508
36	207	5390
37	208	5277
38	209	5169
39	211	5068
40	212	4973
41	214	4883
42	215	4805
43	217	4722
44	218	4642
45	220	4565
46	221	4493
47	223	4423
48	224	4357
49	225	4292
50	227	4228
51	228	4167
52	229	4107
53	231	4056
54	233	4006
55	234	3959
56	236	3909
57	237	3862
58	239	3818
59	240	3771
60	242	3728
61	243	3685
62	245	3644
63	246	3602
64	247	3562
65	248	3523
66	250	3485
67	251	3450
68	253	3414
69	254	3380
70	255	3346
71	257	3313
72	258	3280
73	259	3251
74	261	3225
75	262	3197
76	264	3172
77	267	3159
78	272	3173
79	273	3146
80	275	3122
81	276	3096
82	277	3070
83	279	3045
84	280	3019
85	281	2994
86	283	2970
87	284	2948
88	285	2925
89	287	2902
90	288	2880
91	289	2858
92	290	2838
93	292	2817
94	293	2798
95	295	2778
96	296	2759
97	297	2741
98	299	2723
99	300	2705
100	301	2687
101	303	2669
102	304	2653
103	305	2635
104	307	2619
105	308	2602
106	310	2587
107	311	2571
108	312	2555
109	314	2541
110	315	2527
111	316	2512
112	318	2498
113	319	2484
114	320	2469
115	322	2456
116	323	2444
117	325	2431
118	326	2418
119	328	2405
120	329	2392
121	330	2379
122	331	2366
123	333	2354
124	334	2341
125	335	2330
126	337	2317
127	338	2307
128	340	2296
129	341	2285
130	342	2275
131	344	2263
132	345	2253
133	347	2242
134	348	2232
135	349	2222
136	351	2212
137	352	2204
138	354	2194
139	356	2187
140	357	2177
141	358	2167
142	359	2157
143	361	2147
144	362	2138
145	364	2130
146	365	2120
147	366	2111
148	368	2102
149	369	2094
150	370	2085
151	372	2077
152	373	2068
153	374	2059
154	376	2051
155	377	2044
156	379	2036
157	380	2028
158	381	2020
159	383	2013
160	385	2006
161	386	1999
162	388	1993
163	389	1986
164	391	1978
165	392	1972
166	393	1964
167	395	1957
168	396	1951
169	398	1944
170	399	1938
171	401	1930
172	402	1924
173	404	1918
174	405	1912
175	407	1906
176	408	1900
177	410	1893
178	411	1888
179	427	1946
180	429	1941
181	430	1935
182	431	1928
183	433	1921
184	435	1920
185	438	1918
186	440	1913
187	442	1909
188	443	1903
189	446	1903
190	449	1901
191	453	1909
192	455	1904
193	457	1898
194	458	1894
195	460	1888
196	461	1882
197	463	1876
198	464	1870
199	466	1864
200	468	1860
201	469	1855
202	471	1850
203	472	1844
204	474	1838
205	475	1833
206	476	1826
207	478	1820
208	479	1815
209	481	1810
210	482	1805
211	484	1801
212	486	1797
213	489	1798
214	491	1794
215	493	1790
216	494	1784
217	496	1780
218	497	1774
219	499	1771
220	501	1766
221	502	1762
222	504	1757
223	506	1753
224	507	1747
225	508	1741
226	510	1736
227	511	1732
228	513	1727
229	514	1722
230	515	1717
231	517	1712
232	518	1707
233	519	1701
234	521	1696
235	522	1691
236	523	1686
237	525	1680
238	526	1676
239	528	1672
240	531	1672
241	534	1674
242	536	1671
243	538	1667
244	539	1662
245	541	1658
246	542	1654
247	544	1650
248	546	1647
249	548	1645
250	550	1641
251	551	1637
252	552	1632
253	554	1627
254	555	1622
255	556	1618
256	558	1614
257	561	1615
258	563	1612
259	565	1609
260	567	1605
261	568	1601
262	569	1597
263	571	1592
264	573	1590
265	574	1586
266	576	1582
267	577	1578
268	579	1573
269	580	1569
270	581	1564
271	582	1560
272	584	1556
273	585	1552
274	587	1547
275	588	1543
276	589	1539
277	591	1535
278	592	1531
279	594	1527
280	595	1523
281	596	1519
282	598	1516
283	599	1512
284	602	1511
285	605	1512
286	607	1509
287	609	1506
288	610	1502
289	612	1499
290	613	1495
291	614	1491
292	616	1487
293	618	1484
294	619	1480
295	621	1477
296	622	1473
297	623	1469
298	625	1466
299	627	1463
300	628	1459
301	629	1455
302	631	1452
303	634	1452
304	636	1449
305	637	1445
306	639	1443
307	640	1439
308	642	1436
309	643	1432
310	645	1429
311	646	1425
312	647	1421
313	649	1418
314	650	1414
315	651	1411
316	653	1407
317	654	1404
318	656	1401
319	657	1397
320	659	1394
321	660	1390
322	661	1386
323	663	1383
324	664	1379
325	665	1376
326	667	1373
327	669	1371
328	670	1367
329	672	1364
330	673	1361
331	675	1358
332	677	1357
333	679	1354
334	680	1351
335	682	1347
336	683	1345
337	685	1341
338	687	1340
339	689	1338
340	691	1335
341	692	1332
342	693	1329
343	695	1325
344	696	1322
345	698	1320
346	700	1317
347	701	1314
348	703	1312
349	705	1310
350	708	1309
351	710	1307
352	711	1303
353	712	1300
354	714	1297
355	715	1294
356	718	1293
357	720	1291
358	721	1288
359	723	1286
360	724	1282
361	726	1280
362	727	1276
363	729	1274
364	731	1272
365	732	1269
366	734	1266
367	736	1264
368	738	1262
369	739	1259
370	740	1255
371	741	1252
372	743	1249
373	745	1247
374	747	1245
375	749	1243
376	752	1243
377	755	1242
378	756	1239
379	758	1237
380	760	1235
381	762	1233
382	764	1230
383	766	1228
384	767	1226
385	769	1223
386	770	1221
387	772	1218
388	774	1216
389	776	1214
390	779	1213
391	781	1212
392	784	1211
393	786	1209
394	787	1206
395	789	1203
396	790	1201
397	792	1198
398	794	1196
399	796	1194
400	797	1191
401	799	1188
402	801	1186
403	802	1183
404	804	1181
405	806	1180
406	808	1177
407	810	1175
408	812	1173
409	814	1171
410	815	1169
411	817	1166
412	819	1164
413	822	1164
414	824	1161
415	826	1159
416	827	1157
417	829	1154
418	830	1152
419	832	1149
420	833	1146
421	835	1144
422	836	1141
423	838	1139
424	840	1136
425	841	1134
426	844	1132
427	846	1131
428	848	1128
429	849	1126
430	851	1124
431	853	1121
432	854	1119
433	856	1117
434	858	1114
435	860	1112
436	862	1111
437	864	1109
438	866	1107
439	868	1105
440	869	1102
441	872	1101
442	874	1099
443	876	1097
444	878	1095
445	879	1092
446	881	1090
447	883	1088
448	885	1086
449	887	1084
450	888	1082
451	890	1079
452	893	1078
453	894	1076
454	896	1073
455	898	1071
456	899	1069
457	901	1067
458	903	1065
459	905	1063
460	907	1061
461	908	1058
462	910	1055
463	911	1053
464	913	1051
465	915	1048
466	916	1046
467	918	1044
468	920	1042
469	922	1039
470	923	1037
471	925	1034
472	927	1033
473	929	1031
474	931	1029
475	934	1028
476	937	1028
477	940	1026
478	942	1025
479	944	1023
480	947	1022
481	949	1020
482	951	1018
483	953	1016
484	955	1014
485	956	1011
486	958	1009
487	961	1008
488	965	1008
489	967	1007
490	969	1005
491	971	1002
492	972	1000
493	974	998
494	976	996
495	978	993
496	979	991
497	981	988
498	982	986
499	983	983
500	985	981
501	986	978
502	988	976
503	990	974
504	992	972
505	994	970
506	995	968
507	997	965
508	999	963
509	1001	962
510	1003	960
511	1006	958
512	1008	957
513	1010	955
514	1011	952
515	1013	950
516	1014	948
517	1016	945
518	1018	943
519	1020	941
520	1021	939
521	1023	936
522	1024	934
523	1026	932
524	1027	929
525	1028	927
526	1030	924
527	1031	922
528	1033	919
529	1034	917
530	1036	915
531	1038	913
532	1039	911
533	1041	909
534	1043	907
535	1045	904
536	1046	902
537	1048	900
538	1051	899
539	1053	897
540	1054	894
541	1056	892
542	1057	889
543	1058	887
544	1060	885
545	1061	883
546	1063	880
547	1065	878
548	1066	876
549	1068	873
550	1069	871
551	1071	869
552	1072	867
553	1074	864
554	1075	862
555	1077	860
556	1078	858
557	1080	855
558	1082	853
559	1083	851
560	1085	849
561	1086	847
562	1088	844
563	1089	842
564	1091	840
565	1093	838
566	1094	836
567	1096	833
568	1098	831
569	1099	829
570	1101	827
571	1102	825
572	1104	823
573	1105	820
574	1107	818
575	1109	816
576	1111	814
577	1112	812
578	1114	810
579	1115	808
580	1117	805
581	1119	803
582	1120	801
583	1122	799
584	1124	797
585	1125	795
586	1127	793
587	1129	791
588	1131	789
589	1132	787
590	1134	785
591	1136	783
592	1138	781
593	1139	779
594	1141	776
595	1142	774
596	1144	772
597	1145	770
598	1147	767
599	1148	765
600	1150	763
601	1152	761
602	1154	759
603	1155	757
604	1157	755
605	1159	753
606	1161	751
607	1162	749
608	1164	747
609	1166	745
610	1168	743
611	1170	741
612	1171	739
613	1173	737
614	1175	735
615	1176	733
616	1178	731
617	1179	729
618	1181	727
619	1183	725
620	1185	723
621	1187	721
622	1189	719
623	1190	717
624	1192	715
625	1193	713
626	1195	711
627	1196	708
628	1198	706
629	1200	705
630	1201	702
631	1203	700
632	1205	698
633	1206	696
634	1208	694
635	1209	692
636	1211	690
637	1213	688
638	1214	686
639	1216	684
640	1217	682
641	1219	679
642	1220	677
643	1222	675
644	1224	673
645	1225	671
646	1227	669
647	1228	667
648	1230	665
649	1231	663
650	1233	661
651	1234	658
652	1236	656
653	1237	654
654	1238	652
655	1240	650
656	1241	648
657	1243	646
658	1245	644
659	1246	642
660	1248	640
661	1249	638
662	1251	636
663	1253	634
664	1254	632
665	1256	630
666	1258	628
667	1259	626
668	1261	624
669	1263	622
670	1265	620
671	1267	618
672	1270	617
673	1272	615
674	1274	613
675	1277	612
676	1279	610
677	1281	608
678	1283	606
679	1285	604
680	1286	602
681	1288	600
682	1289	598
683	1291	596
684	1293	594
685	1295	593
686	1298	591
687	1301	590
688	1304	588
689	1306	586
690	1308	584
691	1309	582
692	1311	580
693	1312	578
694	1314	576
695	1315	574
696	1317	572
697	1318	570
698	1320	568
699	1322	566
700	1324	564
701	1326	562
702	1327	561
703	1329	559
704	1331	557
705	1333	555
706	1334	553
707	1336	551
708	1338	549
709	1339	547
710	1342	545
711	1345	544
712	1347	542
713	1349	540
714	1351	538
715	1353	536
716	1355	534
717	1357	533
718	1359	531
719	1361	529
